--- Solution of Y=AX: 
 X0 =   7.088 
 X1 =  13.520 
 X2 =   1.280 
 X3 =   2.540 
 X4 =   9.840 
 X5 =  20.860 
 X6 =   9.237 
 X7 =  -0.130 
 X8 =   3.086 
 X9 =  -1.671 
 X10 =  -4.938 
 X11 =  -4.924 
 X12 =   9.930 
 X13 =   5.535 
 X14 =   1.856 
 X15 =  -0.558 
 X16 =  21.689 
 X17 =   2.750 
 X18 =  -5.810 
 X19 =  -2.971 
 X20 =   4.044 
 X21 =  -7.622 
 X22 =  10.697 
 X23 =   3.239 
 X24 = -12.598 
 X25 =  25.641 
 X26 =   1.307 
 X27 =   2.543 
 X28 =  -1.691 
 X29 =  -3.356 
 X30 =   7.477 
 X31 =   6.955 
 X32 = -11.715 
 X33 =   9.259 
 X34 =  -8.779 
 X35 =   4.940 
 X36 =   6.406 
 X37 =  -9.400 
 X38 =   8.285 
 X39 =  -6.011 
 X40 =  -0.758 
 X41 = -16.693 
 X42 =   4.405 
 X43 =  12.297 
 X44 = -14.051 
 X45 =  -3.185 
 X46 =  -7.459 
 X47 =  -5.492 
 X48 =  13.661 
 X49 = -18.935 
 X50 = -11.805 
 X51 =   8.226 
 X52 =  -5.998 
 X53 =  -8.259 
 X54 =  -1.668 
 X55 =   9.454 
 X56 =   9.549 
 X57 =  -6.371 
 X58 =  -8.651 
 X59 =   3.479 
 X60 =  -0.152 
 X61 =   6.829 
 X62 = -13.281 
 X63 =  -9.450 
 X64 =   1.895 
 X65 =  11.203 
 X66 =   0.575 
 X67 =   3.984 
 X68 =  -1.986 
 X69 =  11.493 
 X70 =  17.095 
 X71 =  32.717 
 X72 =  11.273 
 X73 =   4.179 
 X74 =  -6.816 
 X75 =  11.036 
 X76 =   7.133 
 X77 =  -1.516 
 X78 =  -1.608 
 X79 =   0.004 
 X80 =  -6.295 
 X81 =  -7.086 
 X82 = -13.164 
 X83 =  -6.230 
 X84 = -10.603 
 X85 =  -7.331 
 X86 =  -0.388 
 X87 =  -7.961 
 X88 =   3.301 
 X89 =  -8.959 
 X90 =  12.994 
 X91 =  -0.506 
 X92 =   3.608 
 X93 =   0.835 
 X94 =   0.423 
 X95 = -12.135 
 X96 =  -0.731 
 X97 =  12.709 
 X98 =   4.543 
 X99 = -20.974 
 X100 =   7.257 
